benchmark_set,algorithm,FM,AM,AR,FM_std,AM_std,AR_std
fcps_atom,spectral_n_neigh_5,0.8032408393259549,0.5861879537146693,0.5962771164567561,0.6493897388644502,0.2639729854637047,0.1475616397228268
fcps_chainlink,spectral_n_neigh_5,0.6697040853957934,0.34173734447924475,0.2474405250480217,0.7905292390799057,0.5656166113065276,0.5681098399448155
fcps_engytime,spectral_n_neigh_5,0.903925854181672,0.7409170790275762,0.8071432095338038,0.8864051508103141,0.7061508972245704,0.7715629697295194
fcps_hepta,spectral_n_neigh_5,0.6949205638573365,0.8060365324801705,0.6248652544532901,0.6949205638573365,0.8060365324801704,0.6248652544532901
fcps_lsun,spectral_n_neigh_5,1.0,1.0,1.0,1.0,1.0,1.0
fcps_target,spectral_n_neigh_5,0.6166137641337225,0.5655678804706386,0.3874308918015558,0.6159017722688743,0.5653759871890147,0.3865472693373717
fcps_tetra,spectral_n_neigh_5,0.5545598043612656,0.530873126902901,0.40055296823048936,0.5538155087802787,0.5303744025697424,0.3999239911843611
fcps_twodiamonds,spectral_n_neigh_5,0.9974968750146852,0.9873803840988732,0.9949999922070802,1.0,1.0,1.0
fcps_wingnut,spectral_n_neigh_5,1.0,1.0,1.0,1.0,1.0,1.0
graves_dense,spectral_n_neigh_5,0.9800040595779268,0.9288666847637901,0.9602000804038779,0.9800040595779268,0.9288666847637901,0.9602000804038779
graves_fuzzyx,spectral_n_neigh_5,0.6208689586550821,0.6782674278165695,0.5112740818315519,0.6316717119824539,0.68632421188936,0.526012956722456
graves_line,spectral_n_neigh_5,0.7425232666250821,0.3835077157942278,0.3580876758066632,0.7425232666250821,0.3835077157942278,0.3580876758066632
graves_parabolic,spectral_n_neigh_5,0.827730617582069,0.5475183480558468,0.6557555083635614,0.7889543461389398,0.4798346181763484,0.5771784960128983
graves_ring,spectral_n_neigh_5,0.6477539114286617,0.24913057712047665,0.13052792524168125,0.6477539114286617,0.24913057712047665,0.13052792524168125
graves_zigzag,spectral_n_neigh_5,0.6153150776436603,0.5321331065201272,0.3616965737883768,0.5954523885107214,0.5056518772843369,0.3277668369371223
myOwn_3distr,spectral_n_neigh_5,1.0,1.0,1.0,1.0,1.0,1.0
myOwn_3hearts,spectral_n_neigh_5,0.769934418293578,0.6803394786239234,0.6462438553170636,0.7710785988560684,0.6843241212626474,0.6477903296890954
myOwn_sinAndCos,spectral_n_neigh_5,0.7605482180353346,0.5173909919277913,0.5003480689201839,0.7605482180353346,0.5173909919277913,0.5003480689201839
other_iris,spectral_n_neigh_5,0.5449362297116526,0.33251698592960005,0.28577633681336584,0.6980766637702621,0.5934172826152708,0.5473439141421311
other_iris5,spectral_n_neigh_5,0.4592738571748281,0.14774306595694905,0.10835473335161684,0.4465334223374973,0.10537009895377483,0.07126716495741353
other_square,spectral_n_neigh_5,0.6546223274971971,0.2914356889473284,0.1809262416288708,0.6730022594981312,0.35048174344472605,0.2595367587417096
wut_cross,spectral_n_neigh_5,0.4515709518594715,0.3427687160718047,0.1707079831368156,0.4515709518594715,0.3427687160718047,0.1707079831368156
wut_smile,spectral_n_neigh_5,0.3331746798554252,0.44013679937321176,0.06878248753765738,0.4100922675960881,0.5190920560687731,0.2049607845278663
wut_twosplashes,spectral_n_neigh_5,0.6458896926287588,0.2339418445203519,0.11434721194592053,0.7555152714423936,0.5093243296059962,0.4888341832248989
wut_x1,spectral_n_neigh_5,1.0,1.0,1.0,1.0,1.0,1.0
wut_x2,spectral_n_neigh_5,0.7943409335528321,0.7317863715625962,0.6876727599107165,0.7951855144568276,0.7455077928160851,0.6882872342370341
wut_x3,spectral_n_neigh_5,0.8484188733639098,0.7928083691440964,0.7912239993485699,0.8484188733639098,0.7928083691440965,0.7912239993485699
wut_z1,spectral_n_neigh_5,0.548251046990768,0.4243391427749109,0.2413365914513136,0.5738750322964125,0.466646422463248,0.3013943682218211
wut_z2,spectral_n_neigh_5,0.7595129404595199,0.8143977086127204,0.6344413014308503,0.7277752999771072,0.7811642600777027,0.586315332015614
wut_z3,spectral_n_neigh_5,1.0,1.0,1.0,0.9983332868987947,0.9950601623005456,0.9976196192753648
fcps_atom,hierarchy_single,0.7049019345643459,0.002451968901408848,1.2515800807311779e-05,0.7049019345643459,0.002451968901408848,1.2515800807311779e-05
fcps_chainlink,hierarchy_single,0.6631020528385942,0.11773420342436865,0.024054974724974258,0.6729258620636577,0.0880521007813271,0.01233494324099902
fcps_engytime,hierarchy_single,0.7066753820607086,0.00048585809399783614,4.769538293204317e-07,0.7066753820607086,0.00048585809399783614,4.769538293204317e-07
fcps_hepta,hierarchy_single,0.6908475513652459,0.8280288078762856,0.5847626451521617,0.6908475513652459,0.8280288078762856,0.5847626451521617
fcps_lsun,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
fcps_target,hierarchy_single,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0
fcps_tetra,hierarchy_single,0.4851481979570438,0.03401698880908259,0.0009127596781781553,0.4851481979570438,0.03401698880908259,0.0009127596781781553
fcps_twodiamonds,hierarchy_single,0.7057802648330319,-3.4897744707276397e-15,0.0,0.7057802648330319,-3.4897744707276397e-15,0.0
fcps_wingnut,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
graves_dense,hierarchy_single,0.6949934391698094,0.019026260228884945,0.0006031942149654348,0.6949934391698094,0.019026260228884945,0.0006031942149654348
graves_fuzzyx,hierarchy_single,0.4467074848713452,-0.00017055742840195207,-0.00012603239355720328,0.4467074848713452,-0.00017055742840195207,-0.00012603239355720328
graves_line,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
graves_parabolic,hierarchy_single,0.706159272011596,4.652681317346416e-05,6.504084401759609e-05,0.706159272011596,4.652681317346416e-05,6.504084401759609e-05
graves_ring,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
graves_zigzag,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
myOwn_3distr,hierarchy_single,0.5735288030431697,0.002771946697600446,4.474297516757702e-05,0.5735288030431697,0.002771946697600446,4.474297516757702e-05
myOwn_3hearts,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
myOwn_sinAndCos,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
other_iris,hierarchy_single,0.5620897964628777,0.010537233844444702,0.0001863171940630491,0.5624082609367943,0.01100423284013792,0.0007306556629923738
other_iris5,hierarchy_single,0.6905482710606584,0.33873685782360463,0.14846140003599073,0.6625674219912923,0.12495676979735255,0.05490117193029502
other_square,hierarchy_single,1.0,1.0,1.0,1.0,1.0,1.0
sipu_a1,hierarchy_single,0.5639905857956433,0.7840890022827329,0.4435710228386634,0.40396425967650734,0.6700040186323821,0.2169324016677946
sipu_a2,hierarchy_single,0.4804104025139482,0.7634493121313504,0.3477565778215985,0.4054239319097328,0.7036949040316375,0.2482780607685988
sipu_a3,hierarchy_single,0.4488624525705467,0.7566019043517866,0.3153890796381469,0.4488624525705467,0.7566019043517866,0.3153890796381469
sipu_aggregation,hierarchy_single,0.8611807579495235,0.881536346473864,0.8042069683967059,0.8625236412782566,0.8833471166090701,0.8057726259403848
